weekday,year,month,day,event
none,2025,1,14,米PPI予:0.4%実0.2%　
none,2025,2,13,米PPI　
none,2025,3,13,米PPI　
none,2025,4,11,米PPI　
none,2025,5,15,米PPI　
none,2025,6,12,米PPI　
none,2025,7,16,米PPI　
none,2025,8,14,米PPI　
none,2025,9,10,米PPI　
none,2025,10,16,米PPI　
none,2025,11,14,米PPI　
none,2025,12,11,米PPI　
