weekday,year,month,day,event
none,2025,1,31,米CPE　
none,2025,2,28,米CPE　
none,2025,3,28,米CPE　
none,2025,4,30,米CPE　
none,2025,5,30,米CPE　
none,2025,6,27,米CPE　
none,2025,7,31,米CPE　
none,2025,8,29,米CPE　
none,2025,9,26,米CPE　
none,2025,10,31,米CPE　
none,2025,11,26,米CPE　
none,2025,12,19,米CPE　
