weekday,year,month,day,event
fri,2025,1,3,【日本SQ】
tue,2025,2,4,【日本SQ】
tue,2025,3,4,【日本SQ】
wed,2025,4,2,【日本SQ】
fri,2025,5,2,【日本SQ】
tue,2025,6,3,【日本SQ】
wed,2025,7,2,【日本SQ】
mon,2025,8,4,【日本SQ】
tue,2025,9,2,【日本SQ】
thu,2025,10,2,【日本SQ】
wed,2025,11,5,【日本SQ】
tue,2025,12,2,【日本SQ】
