weekday,year,month,day,event
thu,2025,1,2,【ISM製造業景況感指数】
mon,2025,2,3,【ISM製造業景況感指数】
mon,2025,3,3,【ISM製造業景況感指数】
tue,2025,4,1,【ISM製造業景況感指数】
thu,2025,5,1,【ISM製造業景況感指数】
mon,2025,6,2,【ISM製造業景況感指数】
tue,2025,7,1,【ISM製造業景況感指数】
fri,2025,8,1,【ISM製造業景況感指数】
tue,2025,9,2,【ISM製造業景況感指数】
wed,2025,10,1,【ISM製造業景況感指数】
mon,2025,11,3,【ISM製造業景況感指数】
mon,2025,12,1,【ISM製造業景況感指数】
