weekday,year,month,day,event
thu,2025,1,2,【米国雇用統計】
mon,2025,2,3,【米国雇用統計】
mon,2025,3,3,【米国雇用統計】
tue,2025,4,1,【米国雇用統計】
thu,2025,5,1,【米国雇用統計】
mon,2025,6,2,【米国雇用統計】
tue,2025,7,1,【米国雇用統計】
fri,2025,8,1,【米国雇用統計】
tue,2025,9,2,【米国雇用統計】
wed,2025,10,1,【米国雇用統計】
mon,2025,11,3,【米国雇用統計】
mon,2025,12,1,【米国雇用統計】
