weekday,year,month,day,event
none,2025,1,15,米CPI:前月比0.2%上昇　
none,2025,2,12,米CPI　
none,2025,3,12,米CPI　
none,2025,4,10,米CPI　
none,2025,5,13,米CPI　
none,2025,6,11,米CPI　
none,2025,7,15,米CPI　
none,2025,8,12,米CPI　
none,2025,9,11,米CPI　
none,2025,10,15,米CPI　
none,2025,11,13,米CPI　
none,2025,12,10,米CPI　
